pi_trend_score,pi_episode_count,itunes_id,podcast_name,rss_feed
,500,1222114325,Up First from NPR,https://feeds.npr.org/510318/podcast.xml
,300,1469394914,The Journal.,https://video-api.wsj.com/podcast/rss/wsj/the-journal
,266,135067274,Global News Podcast,https://podcasts.files.bbci.co.uk/p02nq0gn.rss
,20,833706616,Part Of The Problem,https://rss.art19.com/part-of-the-problem
,1000,1576594336,Morning Wire,https://feeds.megaphone.fm/BVDWV8747925072
,500,1794450472,Bulwark Takes,https://audioboom.com/channels/5149464.rss
