url,label,source,backlinks,refpages,pages,valid_pages,text,image,nofollow,ugc,sponsored,dofollow,redirect,canonical,gov,edu,rss,alternate,html_pages,links_internal,links_external,refdomains,refclass_c,refips,linked_root_domains
pri.org,5,MBFC,19559640,7778172,178084,178083,19525292,2762744,15336549,5040,65,4188398,19995,1367,1193,14430,2508,50,87033,2889770,2010445,91975,21865,46720,19796
principia-scientific.org,3,MBFC,152419,125448,209,204,151250,5912,9669,3483,0,141525,15,0,0,57,5,1,175,11446,3748,3117,2004,2759,515
prisonplanet.com,1,MBFC,4647448,2676747,70383,70075,4645806,142401,206233,9631,31,4439315,315,6,0,2083,480,123,23344,870029,1630363,26198,8103,13000,9076
private-eye.co.uk,4,MBFC,398864,194274,48221,48215,398734,33124,23114,861,32,375563,58,0,68,2026,6,27,40181,4947164,703537,6043,3258,4537,100
prnewswire.mediaroom.com,5,MBFC,4833220,2332984,2350,2350,4833212,261,3148,9,0,4830064,0,6,0,24,0,1,2243,35947,184214,532,488,598,628
prntly.com,3,MBFC-Q,12975,4466,2420,2419,12934,199,2733,674,0,10201,7,0,0,5,0,0,1916,138151,34104,715,554,649,214
procon.org,5,MBFC,1195782,382767,30481,30476,1193838,33971,186893,5757,63,1006648,217,1431,220,54672,228,2,13469,1085186,85741,31995,11620,20262,714
profam.org,3,MBFC-Q,41540,27675,970,970,41445,1399,1354,22,0,40090,82,0,2,69,11,0,816,36491,12012,1422,905,1093,249
progressive.org,5,MBFC,2101045,982122,33401,33397,2099877,58029,79523,1811,43,2020094,874,25,36,7957,249,2,17305,688511,365584,19638,7442,11645,10222
projectcensored.org,5,MBFC,3236219,1533937,33620,33581,3235609,167032,25343,1978,1,3209945,103,20,6,1335,317,11,28429,1390305,883807,10330,4130,5893,3290
project-syndicate.org,5,MBFC,7149669,2993725,106002,105752,7139514,761437,358616,13202,32,6778609,4379,3883,1101,104672,1722,82,51148,742963,80597,45930,18694,34880,1325
projectveritas.com,3,MBFC-Q,1175183,728087,2291,2291,1173500,33162,39361,3085,15,1133648,263,10,37,76,84,19,1361,9311,14833,11746,5629,9499,403
